review_id,airline_id,lounge_name,airport,type_of_lounge,type_of_traveller,verify,date_submitted,nationality,comfort,cleanliness,bar_and_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,data_era,sentiment_label,sentiment_score,data_era_covid
1,9,JFK Terminal 7,New York JFK Airport,Business Class,Business,1,2024-05-21,United Kingdom,5.0,5.0,4.0,4.0,4.0,5.0,4.0,1,Modern (2015-Present),Positive,0.9698,After Covid
2,9,Aer Lingus,New York JFK Airport,Business Class,Business,1,2023-06-15,United Kingdom,5.0,5.0,4.0,2.0,5.0,5.0,5.0,1,Modern (2015-Present),Positive,0.9213,After Covid
3,9,Unknown Lounge,London Heathrow Airport,Business Class,Business,0,2023-05-25,Ireland,3.0,3.0,1.0,1.0,3.0,4.0,2.0,0,Modern (2015-Present),Negative,-0.5256,After Covid
5,9,Gold Circle,Dublin Airport,Frequent Flyer,Unknown,0,2017-02-15,Ireland,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,Modern (2015-Present),Positive,0.907,Pre Covid
6,9,Dublin,Dublin Airport,Business Class,Business,0,2017-02-10,United Kingdom,3.0,2.0,1.0,1.0,3.0,5.0,2.0,0,Modern (2015-Present),Positive,0.9452,Pre Covid
7,9,Unknown Lounge,Dublin Airport,Business Class,Business,0,2016-10-17,Ireland,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0,Modern (2015-Present),Positive,0.775,Pre Covid
8,9,51st & Green,Dublin Airport,Business Class,Business,0,2016-09-26,Ireland,3.0,3.0,3.0,2.0,3.0,5.0,3.0,1,Modern (2015-Present),Positive,0.6152,Pre Covid
9,9,Unknown Lounge,New York JFK Airport,Business Class,Business,0,2015-11-21,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Modern (2015-Present),Negative,-0.4582,Pre Covid
10,9,Unknown Lounge,Boston Logan Airport,Business Class,Business,0,2015-11-03,United Kingdom,2.0,3.0,3.0,3.0,1.0,4.0,3.0,0,Modern (2015-Present),Negative,-0.1165,Pre Covid
11,9,Gold Circle Lounge,London Heathrow Airport,Frequent Flyer,Unknown,0,2015-10-29,Ireland,5.0,5.0,4.0,1.0,5.0,5.0,3.0,1,Modern (2015-Present),Positive,0.9386,Pre Covid
12,9,Unknown Lounge,Dublin Airport,Business Class,Business,0,2015-08-24,United Kingdom,4.0,5.0,4.0,3.0,3.0,4.0,5.0,1,Modern (2015-Present),Positive,0.9705,Pre Covid
13,9,Gold Circle,Boston Logan Airport,Business Class,Business,0,2015-08-13,United Kingdom,3.0,4.0,3.0,2.0,,4.0,3.0,0,Modern (2015-Present),Negative,-0.5517,Pre Covid
14,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2015-05-29,United States,4.0,4.0,2.0,2.0,3.0,4.0,1.0,0,Modern (2015-Present),Positive,0.6757,Pre Covid
15,9,Panorama,Dublin Airport,Business Class,Business,0,2015-03-29,United Kingdom,4.0,4.0,3.0,1.0,3.0,3.0,1.0,0,Modern (2015-Present),Positive,0.6341,Pre Covid
16,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2014-10-28,United Kingdom,4.0,5.0,4.0,2.0,4.0,4.0,3.0,1,Historical (Pre-2015),Positive,0.6494,Pre Covid
17,9,Gold Circle,Dublin Airport,Business Class,Business,0,2014-08-11,United Kingdom,3.0,4.0,3.0,1.0,3.0,4.0,3.0,0,Historical (Pre-2015),Positive,0.5244,Pre Covid
18,9,Gold Circle,Dublin Airport,Business Class,Business,0,2013-11-15,Ireland,4.0,3.0,1.0,1.0,1.0,4.0,2.0,0,Historical (Pre-2015),Negative,-0.8519,Pre Covid
19,9,Panorama,Zurich Airport,Business Class,Business,0,2013-11-15,Ireland,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Historical (Pre-2015),Negative,-0.448,Pre Covid
20,9,Oasis,New York JFK Airport,Business Class,Business,0,2013-04-04,United Kingdom,4.0,3.0,4.0,4.0,2.0,4.0,2.0,0,Historical (Pre-2015),Negative,-0.9145,Pre Covid
21,9,Gold Circle,Dublin Airport,Business Class,Business,0,2012-09-17,Ireland,4.0,4.0,4.0,4.0,4.0,5.0,4.0,1,Historical (Pre-2015),Positive,0.4404,Pre Covid
22,9,Gold Circle,Dublin Airport,Business Class,Business,0,2012-09-10,United Kingdom,5.0,4.0,3.0,3.0,3.0,4.0,4.0,1,Historical (Pre-2015),Positive,0.6749,Pre Covid
23,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2012-09-10,United Kingdom,3.0,3.0,4.0,2.0,4.0,4.0,4.0,1,Historical (Pre-2015),Positive,0.9763,Pre Covid
24,9,Gold Circle,Dublin Airport,Business Class,Business,0,2011-09-13,Ireland,5.0,5.0,4.0,4.0,4.0,5.0,3.0,1,Historical (Pre-2015),Positive,0.4767,Pre Covid
25,9,Gold Circle,Boston Logan Airport,Business Class,Business,0,2011-05-03,United States,1.0,3.0,3.0,1.0,3.0,1.0,1.0,0,Historical (Pre-2015),Negative,-0.9538,Pre Covid
26,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2011-05-03,Ireland,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1,Historical (Pre-2015),Positive,0.8268,Pre Covid
27,9,Gold Circle,Cork Airport,Business Class,Business,0,2011-05-03,Ireland,4.0,4.0,4.0,3.0,1.0,4.0,4.0,1,Historical (Pre-2015),Positive,0.9881,Pre Covid
28,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2010-05-01,United Kingdom,1.0,3.0,2.0,2.0,,,2.0,0,Historical (Pre-2015),Negative,-0.9521,Pre Covid
29,9,Gold Circle,Dublin Airport,Business Class,Business,0,2009-03-18,United Kingdom,2.0,3.0,3.0,2.0,1.0,1.0,3.0,0,Historical (Pre-2015),Positive,0.5719,Pre Covid
30,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2009-03-18,United Kingdom,2.0,4.0,1.0,3.0,1.0,1.0,3.0,0,Historical (Pre-2015),Positive,0.8047,Pre Covid
31,9,Gold Circle,Dublin Airport,Business Class,Business,0,2009-02-28,United Kingdom,1.0,1.0,3.0,1.0,1.0,,2.0,0,Historical (Pre-2015),Negative,-0.4976,Pre Covid
38,29,Weltbrger Lounge,Berlin Tegel Airport,Business Class,Business,0,2017-05-14,Germany,4.0,5.0,3.0,3.0,4.0,5.0,4.0,1,Modern (2015-Present),Positive,0.4019,Pre Covid
39,29,Jet Lounge,Vienna Airport,Business Class,Business,0,2017-02-24,Germany,1.0,4.0,4.0,3.0,,4.0,4.0,1,Modern (2015-Present),Positive,0.9033,Pre Covid
40,29,Weltbrger,Berlin Tegel Airport,Frequent Flyer,Unknown,0,2017-02-23,Germany,5.0,5.0,4.0,4.0,3.0,4.0,5.0,1,Modern (2015-Present),Positive,0.9871,Pre Covid
41,29,British Airways,Berlin Tegel Airport,Business Class,Business,0,2016-12-03,Germany,3.0,4.0,4.0,1.0,1.0,4.0,4.0,1,Modern (2015-Present),Positive,0.4086,Pre Covid
42,29,Air France,Berlin Tegel Airport,Business Class,Business,0,2016-12-02,Germany,3.0,4.0,4.0,3.0,1.0,4.0,4.0,1,Modern (2015-Present),Negative,-0.2185,Pre Covid
43,29,Tarom,Bucharest Otopeni Airport,Business Class,Business,0,2016-12-02,Germany,3.0,3.0,3.0,1.0,,4.0,1.0,0,Modern (2015-Present),Negative,-0.6322,Pre Covid
44,29,Hamburg Airport Lounge,Hamburg Airport,Frequent Flyer,Unknown,0,2016-05-19,Germany,5.0,5.0,3.0,2.0,3.0,4.0,5.0,1,Modern (2015-Present),Positive,0.9299,Pre Covid
45,29,Unknown Lounge,Miami Airport,Business Class,Business,0,2015-10-16,Germany,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,Modern (2015-Present),Negative,-0.9155,Pre Covid
46,29,VIP Lounge SAC,Catania Airport,Business Class,Business,0,2015-09-08,United Kingdom,1.0,3.0,1.0,1.0,3.0,4.0,2.0,0,Modern (2015-Present),Positive,0.4466,Pre Covid
47,29,Unknown Lounge,Vienna Airport,Frequent Flyer,Unknown,0,2015-06-17,Austria,4.0,4.0,4.0,4.0,4.0,5.0,5.0,1,Modern (2015-Present),Positive,0.927,Pre Covid
