review_id,airline_id,type_of_traveller,seat_type,aircraft_type,seat_layout,verify,date_submitted,nationality,seat_legroom,seat_recline,seat_width,aisle_space,seat_storage,power_supply,viewing_tv_screen,sleep_comfort,sitting_comfort,seat_bed_width,seat_bed_length,seat_privacy,recommended,data_era,sentiment_label,sentiment_score,data_era_covid
1,17,Couple Leisure,Economy Class,Boeing 737,3x3,1,2023-08-26,Canada,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,0,Modern (2015-Present),Positive,0.7559,After Covid
2,17,Solo Leisure,Economy Class,Boeing 737,3x3,1,2022-03-15,United States,3.0,3.0,3.0,3.0,2.0,,2.0,,,,,,0,Modern (2015-Present),Negative,-0.5635,After Covid
3,17,Business,Economy Class,Boeing 787,3x3x3,1,2019-06-26,Spain,5.0,5.0,2.0,3.0,5.0,4.0,5.0,,,,,,1,Modern (2015-Present),Positive,0.5719,Pre Covid
4,17,Family Leisure,Premium Economy,Boeing 737,3x3,1,2018-09-29,Mexico,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,1,Modern (2015-Present),Positive,0.861,Pre Covid
5,17,Couple Leisure,Economy Class,Boeing 737,3x3,1,2018-09-10,Mexico,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,1,Modern (2015-Present),Positive,0.9475,Pre Covid
6,17,Couple Leisure,Economy Class,Boeing 737,3x3,1,2018-09-09,Mexico,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,1,Modern (2015-Present),Positive,0.9668,Pre Covid
7,17,Solo Leisure,Economy Class,Boeing 787,3x3x3,0,2017-08-10,Guatemala,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,0,Modern (2015-Present),Negative,-0.5083,Pre Covid
8,17,Solo Leisure,Economy Class,Boeing 787,3x3x3,0,2016-09-08,Mexico,3.0,1.0,2.0,3.0,2.0,2.0,3.0,,,,,,1,Modern (2015-Present),Positive,0.965,Pre Covid
9,17,Couple Leisure,Economy Class,Boeing 737,3x3,0,2016-01-18,Canada,2.0,1.0,3.0,3.0,1.0,,1.0,,,,,,1,Modern (2015-Present),Negative,-0.9311,Pre Covid
10,13,Business,Economy Class,Unknown,2x3,1,2019-08-04,Belgium,5.0,4.0,5.0,4.0,3.0,,,,,,,,1,Modern (2015-Present),Positive,0.7845,Pre Covid
11,13,Family Leisure,Economy Class,Airbus A321,3x3,0,2019-08-02,Czech Republic,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,1,Modern (2015-Present),Positive,0.9051,Pre Covid
12,13,Solo Leisure,Economy Class,Unknown,2x3,1,2019-06-26,United States,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,0,Modern (2015-Present),Positive,0.4979,Pre Covid
