airline_id,airline_name
1,AB Aviation
2,AIRDO
3,AJet
4,ANA All Nippon Airways
5,ASKY Airlines
6,ATA Airlines
7,Adria Airways
8,Aegean Airlines
9,Aer Lingus
10,Aero VIP
11,AeroItalia
12,Aerocaribbean
13,Aeroflot Russian Airlines
14,Aerolineas Argentinas
15,Aerolineas Estelar
16,Aeromar
17,Aeromexico
18,Aerosur
19,Africa World Airlines
20,Afriqiyah Airways
21,Aigle Azur
22,Air Algerie
23,Air Antilles
24,Air Arabia
25,Air Astana
26,Air Austral
27,Air Bagan
28,Air Belgium
29,Air Berlin
30,Air Botswana
31,Air Burkina
32,Air Busan
33,Air Cairo
34,Air Cambodia
35,Air Canada
36,Air Canada rouge
37,Air Caraibes
38,Air China
39,Air Corsica
40,Air Costa
41,Air Cote d'Ivoire
42,Air Djibouti
43,Air Dolomiti
44,Air Europa
45,Air France
46,Air Greenland
47,Air Iceland Connect
48,Air India
49,Air India Express
50,Air Italy
51,Air Juan
52,Air KBZ
53,Air Koryo
54,Air Labrador
55,Air Macau
56,Air Madagascar
57,Air Malawi
58,Air Malta
59,Air Mauritius
60,Air Mediterranee
61,Air Memphis
62,Air Moldova
63,Air Montenegro
64,Air Namibia
65,Air New Zealand
66,Air Niugini
67,Air North Yukon's Airline
68,Air Nostrum
69,Air Panama
70,Air Pegasus
71,Air Premia
72,Air Rarotonga
73,Air Senegal
74,Air Serbia
75,Air Seychelles
76,Air Tahiti Nui
77,Air Tanzania
78,Air Transat
79,Air Vanuatu
80,Air Zimbabwe
81,AirAsia
82,AirAsia India
83,AirAsia Philippines
84,AirAsia X
85,AirAsia Zest
86,AirConnect
87,AirSWIFT
88,Aircalin
89,Airlink
90,Airnorth
91,Akasa Air
92,Alaska Airlines
93,Alitalia
94,Allegiant Air
95,Alliance Air
96,Alliance Airlines
97,Amaszonas
98,American Airlines
99,American Eagle
100,American Express Centurion
101,Andes Líneas Aéreas
102,Arajet
103,Ariana Afghan Airlines
104,Arik Air
105,Arkefly
106,Arkia Israeli Airlines
107,Armenia Air Company
108,Armenian Airlines
109,Asiana Airlines
110,Aspire by Swissport
111,Atlantic Airways
112,Atlasglobal
113,Auric Air
114,Aurigny Air
115,Austrian Airlines
116,Avelo Airlines
117,Avianca
118,Avianca Brazil
119,Avianca Ecuador
120,Aviator Lounge CPH
121,Avior Airlines
122,Azerbaijan Airlines
123,Azul Airlines
124,Azur Air Germany
125,BA CityFlyer
126,BH Air
127,Badr Airlines
128,Bahamasair
129,Bamboo Airways
130,Bangkok Airways
131,Bassaka Air
132,Batik Air
133,Beijing Capital Airlines
134,Belavia
135,Berjaya Air
136,BermudAir
137,Bhutan Airlines
138,Biman Bangladesh Airlines
139,Binter Canarias
140,Blu-express
141,Blue Air
142,Blue Islands
143,Blue Panorama Airlines
144,Blue1
145,Bluebird Airways
146,Boliviana de Aviacion
147,BoraJet
148,Boutique Air
149,Braathens
150,Breeze Airways
151,British Airways
152,Brussels Airlines
153,Buddha Air
154,Bulgaria Air
155,Buraq Air
156,Buta Airways
157,CSA Czech Airlines
158,Camair-Co
159,Cambodia Airways
160,Cambodia Angkor Air
161,Cambodia Bayon Airlines
162,Canadian North
163,Canaryfly
164,Cape Air
165,Caribbean Airlines
166,Carpatair
167,Cathay Dragon
168,Cathay Pacific Airways
169,Cayman Airways
170,Cebu Pacific
171,CemAir
172,Central Mountain Air
173,China Airlines
174,China Eastern Airlines
175,China Southern Airlines
176,China United Airlines
177,Citilink
178,CityJet
179,Coastal Aviation
180,Cobalt
181,Comair
182,Condor Airlines
183,Contour Airlines
184,Conviasa
185,Copa Airlines
186,Corendon Airlines
187,Corsair
188,Costa Rica Green Airways
189,Croatia Airlines
190,Cubana Airlines
191,Cyprus Airways
192,DNATA
193,Danish Air Transport
194,Darwin Airline
195,Delta Air Lines
196,Dimonim Air
197,Discover Airlines
198,Dniproavia
199,Dragonair
200,Druk Air
201,Dynamic International Airways
202,EVA Air
203,EWA Air
204,Eastar Jet
205,Eastern Airlines
206,Eastern Airways
207,Easyfly
208,Edelweiss Air
209,Egyptair
210,El Al Israel Airlines
211,Ellinair
212,Emirates
213,Eritrean Airlines
214,Ernest Airlines
215,Escape Lounges
216,Estonian Air
217,Eswatini Air
218,Ethiopian Airlines
219,Etihad Airways
220,Europe Airpost
221,Eurowings
222,Evelop Airlines
223,FLYONE
224,FMI Air
225,Far Eastern Air Transport
226,Felix Airways
227,Fiji Airways
228,Finnair
229,Firefly
230,FitsAir
231,Flair Airlines
232,Fly540.com
233,FlyArystan
234,FlyGabon
235,FlySafair
236,Flynas
237,Freebird Airlines
238,French Bee
239,Frontier Airlines
240,Fuji Dream Airlines
241,Garuda Indonesia
242,Georgian Airways
243,Germania Airline
244,Germanwings
245,Go First
246,GoAir
247,Gol Transportes Aéreos
248,Golden Myanmar Airlines
249,Grand Cru Airlines
250,Greater Bay Airlines
251,Gulf Air
252,HK Express
253,HOP!
254,Hainan Airlines
255,Hawaiian Airlines
256,Helvetic Airways
257,Henan Airlines
258,Hi Fly
259,HiSky
260,Himalaya Airlines
261,Hong Kong Airlines
262,Horizon Air
263,Hunnu Air
264,ITA Airways
265,Iberia
266,Iberia Express
267,Iberojet
268,Icelandair
269,IndiGo
270,Insel Air
271,InterSky
272,Intercaribbean Airways
273,Interjet
274,Iran Air
275,Iran Aseman Airlines
276,Iraqi Airways
277,Island Air
278,Israir Airlines
279,JC International Airlines
280,Jambojet
281,Japan Airlines
282,Jazeera Airways
283,Jazz
284,Jeju Air
285,Jet Airways
286,Jet2.com
287,JetSmart
288,Jetairfly
289,Jetblue Airways
290,Jetstar Airways
291,Jetstar Asia
292,Jetstar Japan
293,Jetstar Pacific
294,JetsuiteX
295,Jin Air
296,Joon
297,Jordan Aviation
298,Juneyao Air
299,KD Air
300,KLM Royal Dutch Airlines
301,KM Malta Airlines
302,Kam Air
303,Kan Air
304,Karthago Airlines
305,Kenya Airways
306,Kish Airlines
307,Korean Air
308,Kulula
309,Kuwait Airways
310,LAM Mozambique
311,LAN Airlines
312,LAN Colombia
313,LAN Peru
314,LATAM Airlines
315,LC Perú
316,LIAT
317,LOT Polish Airlines
318,La Compagnie
319,Lao Airlines
320,Lao Skyway
321,Laudamotion
322,Le Saigonnais Lounge
323,Le Salon Phnom Penh
324,Level
325,Libyan Airlines
326,Lion Air
327,Loch Lomond Seaplanes
328,Loganair
329,Lubeck Air
330,Lucky Air
331,Lufthansa
332,Luxair
333,Lynx Air
334,MAYAir
335,MEGA Maldives Airlines
